,seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp
311,30769,2023,5066,Johnny Davis,2002.0,SG,20.0,1,NBA,WAS,28,423.0,7.2,0.446,0.409,0.158,2.5,13.7,8.3,9.2,1.2,1.6,8.0,20.4,-0.6,0.3,-0.3,-0.031,-5.8,-1.7,-7.4,-0.6
740,29708,2022,4910,Brandon Williams,1999.0,PG,22.0,1,NBA,POR,24,640.0,11.0,0.476,0.376,0.344,3.1,9.8,6.4,23.1,1.8,1.5,15.2,25.9,-0.7,0.2,-0.5,-0.037,-2.6,-3.1,-5.7,-0.6
945,29913,2022,4619,George King,1994.0,SF,28.0,2,NBA,DAL,4,19.0,-12.3,0.085,0.8,0.4,0.0,29.3,14.6,0.0,0.0,0.0,14.5,16.3,-0.1,0.0,-0.1,-0.296,-16.5,-3.5,-20.1,-0.1
1971,29422,2021,4548,Mike James,1990.0,PG,30.0,2,NBA,BRK,13,236.0,11.9,0.481,0.337,0.293,1.5,12.9,7.5,30.6,1.2,0.4,16.1,22.9,0.0,0.1,0.1,0.028,-2.1,-2.3,-4.4,-0.1
3070,27806,2019,4619,George King,1994.0,SF,25.0,1,NBA,PHO,1,6.0,1.9,,,,0.0,18.8,9.2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.001,-5.8,-2.1,-7.9,0.0
4013,27377,2018,4548,Mike James,1990.0,PG,27.0,1,NBA,TOT,36,687.0,13.9,0.469,0.305,0.262,2.0,12.2,7.0,29.4,2.0,0.8,12.0,25.1,-0.1,0.3,0.2,0.017,-0.5,-1.0,-1.5,0.1
4014,27378,2018,4548,Mike James,1990.0,PG,27.0,1,NBA,PHO,32,669.0,14.2,0.476,0.311,0.269,1.9,12.5,7.1,29.0,1.9,0.8,12.1,25.2,0.0,0.3,0.3,0.021,-0.3,-0.9,-1.2,0.1
4015,27379,2018,4548,Mike James,1990.0,PG,27.0,1,NBA,NOP,4,18.0,3.5,0.222,0.111,0.0,6.2,0.0,3.0,43.5,2.7,0.0,10.0,24.1,-0.1,0.0,-0.1,-0.146,-7.7,-2.4,-10.1,0.0
4347,26452,2017,3590,David Lee,1983.0,PF,33.0,12,NBA,SAS,79,1477.0,18.5,0.613,0.0,0.269,11.7,21.9,16.9,13.0,1.1,2.2,14.9,16.9,3.2,2.5,5.7,0.186,0.7,1.1,1.8,1.4
4420,26525,2017,3878,Gerald Henderson,1987.0,SG,29.0,8,NBA,PHI,72,1667.0,10.8,0.529,0.313,0.298,2.2,10.0,6.1,10.5,1.2,0.7,9.0,17.9,1.0,1.0,2.0,0.059,-2.2,-0.9,-3.1,-0.5
4622,26727,2017,3407,Mike Dunleavy,1980.0,SF,36.0,15,NBA,TOT,53,841.0,10.1,0.573,0.609,0.205,2.4,12.4,7.5,8.6,0.9,0.7,10.5,14.0,0.8,0.7,1.5,0.086,-1.3,-0.1,-1.4,0.1
4623,26728,2017,3407,Mike Dunleavy,1980.0,SF,36.0,15,NBA,CLE,23,366.0,7.6,0.539,0.633,0.211,1.6,12.3,7.1,7.5,0.8,0.4,12.5,13.7,0.1,0.2,0.3,0.041,-2.7,-0.4,-3.1,-0.1
